source_concept_id,source_label,target_uri,target_label,relation,confidence,source_url,source_version
1AhX_Du2_VPY,Sjukhusstädning,http://data.europa.eu/esco/skill/6ff01827-907d-43d8-b6e4-7162c1cf0aca,rengöra ytor,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1AhX_Du2_VPY,Sjukhusstädning,http://data.europa.eu/esco/skill/bb62b926-73ff-437d-aac1-5f8af6cc8e52,fylla på toalettartiklar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1BKz_4at_cuy,Kalibrering,http://data.europa.eu/esco/skill/393a7e6b-8deb-41a3-a48e-30d5dd68a7df,öka skjutvapens precision,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1BKz_4at_cuy,Kalibrering,http://data.europa.eu/esco/skill/6532ef3b-1685-4de7-a858-d31fdaa435ca,kalibrera precisionsinstrument,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1BKz_4at_cuy,Kalibrering,http://data.europa.eu/esco/skill/8867088a-e54d-41bc-81e8-a21ff98e81d3,kalibrera elektroniska instrument,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1BKz_4at_cuy,Kalibrering,http://data.europa.eu/esco/skill/ebbecf54-a116-4fad-9d57-629179fd9403,centrera linser,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Bou_FhG_MdL,Barnvagnar/Bilbarnstolar,http://data.europa.eu/esco/skill/d6d3fee7-47e2-47f4-a0ec-6c75f28c6abd,produktkunskap,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1C31_5tQ_i7g,Formtillverkning,http://data.europa.eu/esco/skill/0e75b620-7f75-408a-a625-12d3dbd1c104,bygga formar,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1C31_5tQ_i7g,Formtillverkning,http://data.europa.eu/esco/skill/c32a99c4-34c1-464a-9de1-b471f6a3084e,infoga förstärkningar i formar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1C31_5tQ_i7g,Formtillverkning,http://data.europa.eu/esco/skill/cee37636-da29-4194-bb51-aa4a49bf76ee,säkerställa enhetligheten hos formar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1CWs_vdp_qX5,"Arbets- och miljömedicin, specialistkompetens för läkare",http://data.europa.eu/esco/skill/0f69d0b1-b2a4-4e38-8281-cba49b718303,yrkes- och miljömedicin,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1CmG_8hR_igc,Bluetooth-teknik,http://data.europa.eu/esco/skill/6e4f75b4-c60f-4623-a9ba-760c8245753b,it-kommunikationsprotokoll,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1CnL_8ZQ_tTd,Design/Visualisering-Autodesk 3ds Max Design,http://data.europa.eu/esco/skill/f5b33464-4df9-4cf3-b468-b0a2d6b3ee85,använda 3D-grafikprogram,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1EYb_A74_7Pq,"Mode, barnkonfektion/Design, barnkonfektion",http://data.europa.eu/esco/skill/26343dda-6dda-4c14-a329-34828135ecbc,skapa stämningsplank,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1EYb_A74_7Pq,"Mode, barnkonfektion/Design, barnkonfektion",http://data.europa.eu/esco/skill/9076250e-e0ed-40f5-bf64-5a2ade218a66,tillverkning av barnkläder,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1EYb_A74_7Pq,"Mode, barnkonfektion/Design, barnkonfektion",http://data.europa.eu/esco/skill/d65e43ec-236d-4774-9ee6-f7f88e715bc4,designa kläder,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1FS5_pZc_X5o,WAN,http://data.europa.eu/esco/skill/2164e860-7f20-48bc-b98c-5d9f8a561550,utforma datornätverk,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1FbS_vYp_DC3,"Monitor, affärssystem",http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,affärssystem,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1FrM_h3A_mLq,"Infektionssjukdomar, specialistkompetens för läkare",http://data.europa.eu/esco/skill/7032c696-4cd3-41f7-84ae-1d9c5c18baaa,smittsamma sjukdomar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1G52_33H_jQa,Svagsynsoptik,http://data.europa.eu/esco/skill/0b370a54-aba5-438d-9b3f-5c739aa57496,tillpassa synhjälpmedel,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1G52_33H_jQa,Svagsynsoptik,http://data.europa.eu/esco/skill/16a8cf8a-69fe-4316-b784-38bfaf27639f,hantera kontaktlinser,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1G52_33H_jQa,Svagsynsoptik,http://data.europa.eu/esco/skill/18edb12e-4f41-4ae0-8085-7513236580c8,egenskaper hos optiska glas,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1G52_33H_jQa,Svagsynsoptik,http://data.europa.eu/esco/skill/325e8546-a5bb-4bbe-be43-07df4cd2970e,testa synskärpan,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1G52_33H_jQa,Svagsynsoptik,http://data.europa.eu/esco/skill/38dbdfc4-427e-4fc8-b394-b00ec29dbe3a,optik,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1G52_33H_jQa,Svagsynsoptik,http://data.europa.eu/esco/skill/45bd49b2-2e24-4279-89a8-b5ae84e8acf2,tillpassa kontaktlinser,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1HaS_S7D_8Kp,Arbetssociologi,http://data.europa.eu/esco/skill/8881a9c2-bd07-4954-bf27-c1f8acca9af0,sociologi,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1JaM_2oZ_iQ3,"Materialplanering, VVS",http://data.europa.eu/esco/skill/5d9dd44a-81f8-4710-bd4d-af27ec5c2139,beräkna materialbehov,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1KBz_E3j_hHg,ID-märkning med mikrochip,http://data.europa.eu/esco/skill/749ae61c-fe7b-461b-8bc3-349f46617ee7,lokalisera mikrochips hos djur,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1KBz_E3j_hHg,ID-märkning med mikrochip,http://data.europa.eu/esco/skill/d4ea6fc9-e533-480e-851e-285c0ffe5125,implantera mikrochips hos djur,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1KBz_E3j_hHg,ID-märkning med mikrochip,http://data.europa.eu/esco/skill/ff6904ef-36e7-4890-8fb1-8353b299f047,chipläsare,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1L4q_b6t_eaQ,Beslutsstödsystem,http://data.europa.eu/esco/skill/3ce1fe19-7f9e-4070-941d-651673a5693b,beslutsstödsystem,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1L4q_b6t_eaQ,Beslutsstödsystem,http://data.europa.eu/esco/skill/df0612db-366c-4ff5-b106-40b9e385195c,använda beslutsstödsystem,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Pk2_4TN_aeL,Paketsortering,http://data.europa.eu/esco/skill/76f22707-8d30-453f-9eb7-3376e2960311,hantera post,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Pk2_4TN_aeL,Paketsortering,http://data.europa.eu/esco/skill/c8e25c26-ba35-4cb8-961b-6a3e02b804b7,ta emot packningsinformation för leveranser,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Pk2_4TN_aeL,Paketsortering,http://data.europa.eu/esco/skill/fd6ab598-d7b1-4cef-9e54-e8f1a725881c,skilja mellan olika typer av paket,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Puq_WVN_uoK,"Trafikledning, taxiverksamhet",http://data.europa.eu/esco/skill/24f4993f-9d86-42d1-8671-b6ec8b728956,använda koder för att kommunicera med taxichaufförer,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Puq_WVN_uoK,"Trafikledning, taxiverksamhet",http://data.europa.eu/esco/skill/2b1044ff-b64c-4a6f-b261-9205fd14f4f0,tilldela kostnader för taxiresor,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Puq_WVN_uoK,"Trafikledning, taxiverksamhet",http://data.europa.eu/esco/skill/57093d18-25bd-4805-8202-168430c6a967,använda radiobaserade anropssystem för taxibilar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Puq_WVN_uoK,"Trafikledning, taxiverksamhet",http://data.europa.eu/esco/skill/83e46367-f250-45b4-b0af-b1da42c1f3ec,schemalägga och skicka ut förare,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Puq_WVN_uoK,"Trafikledning, taxiverksamhet",http://data.europa.eu/esco/skill/c10f4034-49d2-43fc-9ba3-38f8ce62493f,hantera tidsscheman för taxiverksamhet,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Puq_WVN_uoK,"Trafikledning, taxiverksamhet",http://data.europa.eu/esco/skill/c27a9f4c-9931-4d90-8a7a-b23130895b44,logga taxibilars tider,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1QEA_ufb_Ls7,Teatervetenskap,http://data.europa.eu/esco/skill/fed5b267-73fa-461d-9f69-827c78beb39d,teaterteknik,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1QYQ_Xka_TQ5,"Microsoft Autopilot, systemutvecklingsverktyg",http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,systemutveckling,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Qfp_sL2_W5N,Organisationsteori,http://data.europa.eu/esco/skill/633a3637-2c6b-40ae-ac38-289eb2a62aa6,verksamhetsanalys,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Qmy_Gy8_fCx,Plastmontering,http://data.europa.eu/esco/skill/0c0a8629-97b7-412f-ad91-be97d80205af,göra kvalitetskontroller före montering,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Qmy_Gy8_fCx,Plastmontering,http://data.europa.eu/esco/skill/b6032781-194d-419d-8302-bf1ce88720ee,foga samman plastdelar,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Riq_K64_wMr,"Verksamhetsledning, hotell- och konferens",http://data.europa.eu/esco/skill/20697183-d42a-45fc-b8ad-03e49bdb7d9e,ansvara för ledningsverksamhet,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Riq_K64_wMr,"Verksamhetsledning, hotell- och konferens",http://data.europa.eu/esco/skill/365a6de0-49a4-44d5-ac01-ebf1c626fb22,ansvara för samordning mellan hotellavdelningar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Riq_K64_wMr,"Verksamhetsledning, hotell- och konferens",http://data.europa.eu/esco/skill/7546bf61-91c0-4715-8024-9ee276563cc4,säkerställa säkerheten i hotellbranschen,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Riq_K64_wMr,"Verksamhetsledning, hotell- och konferens",http://data.europa.eu/esco/skill/7c72e251-4437-4e02-bfc1-8ea6137ac498,prognostisera efterfrågan på boende,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Riq_K64_wMr,"Verksamhetsledning, hotell- och konferens",http://data.europa.eu/esco/skill/f2051d94-4877-4f20-b1c6-31cca9132884,leda ett arbetslag inom hotellbranschen,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1TcB_b2C_pjp,Profylaxbehandling,http://data.europa.eu/esco/skill/1ac80de2-ed02-4ce1-9739-cd4a84b835dc,"avlägsna tandsten, plack och fläckar",exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1U6i_pFi_GcN,Tryckfrihetslagstiftningen,http://data.europa.eu/esco/skill/dee6dd50-49fd-4df8-8691-380fe85f1380,presslagstiftning,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1UED_QHH_JbF,Övermaskineri,http://data.europa.eu/esco/skill/15203a54-ec48-4e11-80a7-659dd0e4574b,underhålla kedjehissar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1UED_QHH_JbF,Övermaskineri,http://data.europa.eu/esco/skill/348e4a08-d01b-4cd5-8370-d114a9e31df1,montera kedjehissar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1UED_QHH_JbF,Övermaskineri,http://data.europa.eu/esco/skill/50deacaa-7789-407d-afc0-b217a39fc7a8,manövrera kontrollsystem för scenrörelser,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1UED_QHH_JbF,Övermaskineri,http://data.europa.eu/esco/skill/60678870-f0c5-470d-87af-a17eee609827,underhålla scenutrustning för horisontella rörelser,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1UED_QHH_JbF,Övermaskineri,http://data.europa.eu/esco/skill/688e1fc3-cb58-4d56-85a0-97b84f37fb4a,manövrera automatiska kontrollsystem för scenrörelser,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1UED_QHH_JbF,Övermaskineri,http://data.europa.eu/esco/skill/6f40f0db-6a4b-43f5-8ff3-4e5bd3fe882f,underhålla teaterutrustning,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1UED_QHH_JbF,Övermaskineri,http://data.europa.eu/esco/skill/b85af24f-68b3-4483-b980-67d3f414559a,använda ett kedjehissystem i underhållningssammanhang,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1UZD_TCk_Hrd,Bastuba,http://data.europa.eu/esco/skill/8f8a8803-dc72-4488-9991-7c7d373e01fa,spela musikinstrument,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Uuq_WHZ_dPu,Nöjesjournalistik,http://data.europa.eu/esco/skill/3391d6dd-d584-4c8c-9af9-d2f0c45e2b4b,journalistik,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Uuq_WHZ_dPu,Nöjesjournalistik,http://data.europa.eu/esco/skill/975f5116-d57f-45f3-a88b-5f57edd4a104,hålla kontakt med kändisar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1VVe_BBY_rpQ,Installationsteknik,http://data.europa.eu/esco/skill/52d6eb67-56c0-4ad7-b5c2-71e7c2362ece,installera vägguttag,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1VVe_BBY_rpQ,Installationsteknik,http://data.europa.eu/esco/skill/cc173f61-3386-44c5-a048-3889e1ec9114,byggmetoder,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1VZq_3Zj_LH8,Konstgrafik,http://data.europa.eu/esco/skill/6da47d77-3c16-445d-99d7-c31cf1608a75,byta skala på etsningar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1VZq_3Zj_LH8,Konstgrafik,http://data.europa.eu/esco/skill/7cb00dc0-dcff-4df8-aacd-b32fd94d3656,förbereda etsvätska,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1VZq_3Zj_LH8,Konstgrafik,http://data.europa.eu/esco/skill/7fb699d9-182a-430e-b7a0-6d8ed05c284b,grafisk design,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1VZq_3Zj_LH8,Konstgrafik,http://data.europa.eu/esco/skill/8a93bd86-7eb1-4d61-9f32-4e5711b9ef17,hantera frätande kemikalier,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1VZq_3Zj_LH8,Konstgrafik,http://data.europa.eu/esco/skill/c8d83eb9-ed4e-415e-a640-f5e6849d0634,inspektera etsningar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1VZq_3Zj_LH8,Konstgrafik,http://data.europa.eu/esco/skill/e0581b8e-c30f-45a1-abd8-6f9d3a89c369,fylla i etsningar,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1XB5_yUc_9hV,Ortodonti/Tandreglering,http://data.europa.eu/esco/skill/4cb4178d-077a-42f0-9b09-b09b14c28756,ortodonti,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1XGi_fRm_WN9,Lampskärmssömnad,http://data.europa.eu/esco/skill/7cc80984-8c8a-4e03-8fda-b76b4198d1f0,textiltekniker,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Xdr_mxC_kBX,"HDML, programmeringsspråk",http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26,använda märkspråk,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1YVT_hGX_rTM,"Handboll, instruktör/Handboll, tränare",http://data.europa.eu/esco/skill/dbadb531-2fb9-4361-b80b-9be8c3c54229,instruera i idrott,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Ynz_YK1_H7v,"Parasport, ledarerfarenhet",http://data.europa.eu/esco/skill/25c2379e-9cfe-4479-9e1d-9d3444df7a36,främja jämställdhet inom idrotten,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Ynz_YK1_H7v,"Parasport, ledarerfarenhet",http://data.europa.eu/esco/skill/4d083dc5-5147-489a-b7bd-5f8939e60430,tillämpa de senaste rönen inom idrottsvetenskap,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Ynz_YK1_H7v,"Parasport, ledarerfarenhet",http://data.europa.eu/esco/skill/5e22c646-8932-4622-a6bc-87d46b8fdf02,utarbeta idrottsprogram,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
1Ynz_YK1_H7v,"Parasport, ledarerfarenhet",http://data.europa.eu/esco/skill/733db58b-f62e-4548-8078-b0f4e5182383,idrottsetik,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
